column,dtype,missing_frac,sample
dram__bytes.sum,float64,0.0044,25670528.0
gpu__time_duration.sum,float64,0.0044,296832.0
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,float64,0.0044,0.0
sm__throughput.avg.pct_of_peak_sustained_elapsed,float64,0.0044,60.1
sm__warps_active.avg.pct_of_peak_sustained_active,float64,0.0044,15.7
tile_k,float64,0.0044,8.0
tile_m,float64,0.0022,128.0
tile_n,float64,0.0022,128.0
tile_stages,float64,0.0044,5.0
C%128==0,int64,0.0,0
C%16==0,int64,0.0,0
C%256==0,int64,0.0,0
C%32==0,int64,0.0,0
C%64==0,int64,0.0,0
C%8==0,int64,0.0,0
H%128==0,int64,0.0,0
H%16==0,int64,0.0,0
H%256==0,int64,0.0,0
H%32==0,int64,0.0,0
H%64==0,int64,0.0,0
H%8==0,int64,0.0,0
K%128==0,int64,0.0,0
K%16==0,int64,0.0,0
K%256==0,int64,0.0,0
K%32==0,int64,0.0,0
K%64==0,int64,0.0,0
K%8==0,int64,0.0,0
M%128==0,int64,0.0,0
M%16==0,int64,0.0,0
M%256==0,int64,0.0,0
M%32==0,int64,0.0,0
M%64==0,int64,0.0,0
M%8==0,int64,0.0,0
N%128==0,int64,0.0,0
N%16==0,int64,0.0,0
N%256==0,int64,0.0,0
N%32==0,int64,0.0,0
N%64==0,int64,0.0,0
N%8==0,int64,0.0,0
W%128==0,int64,0.0,0
W%16==0,int64,0.0,0
W%256==0,int64,0.0,0
W%32==0,int64,0.0,0
W%64==0,int64,0.0,0
W%8==0,int64,0.0,0
has_unity_stride,int64,0.0,0
is_depthwise,int64,0.0,0
tile_k%128==0,int64,0.0,0
tile_k%16==0,int64,0.0,0
tile_k%256==0,int64,0.0,0
tile_k%32==0,int64,0.0,0
tile_k%64==0,int64,0.0,0
tile_k%8==0,int64,0.0,1
tile_m%128==0,int64,0.0,1
tile_m%16==0,int64,0.0,1
tile_m%256==0,int64,0.0,0
tile_m%32==0,int64,0.0,1
tile_m%64==0,int64,0.0,1
tile_m%8==0,int64,0.0,1
tile_n%128==0,int64,0.0,1
tile_n%16==0,int64,0.0,1
tile_n%256==0,int64,0.0,0
tile_n%32==0,int64,0.0,1
tile_n%64==0,int64,0.0,1
tile_n%8==0,int64,0.0,1
C,object,1.0,
H,object,1.0,
K,object,1.0,
Kernel Name,object,0.0044,cutlass_simt_cf32_cdgrad_optimized_cf32_128x128_8x5_nhwc_align1
M,object,1.0,
N,object,1.0,
R,object,1.0,
S,object,1.0,
W,object,1.0,
conv_role,object,0.6593,dgrad
dtype,object,0.2352,cf32
kernel_name,object,0.0022,cutlass_simt_cf32_cdgrad_optimized_cf32_128x128_8x5_nhwc_align1
layout,object,0.422,nhwc
math_mode,object,0.0022,simt
ncu_kernel_symbol,object,0.0044,cutlass_simt_cf32_cdgrad_optimized_cf32_128x128_8x5_nhwc_align1
operation,object,0.0,conv2d
run_dir,object,0.0,data/ncu/all/20251014-014945/a234d262-4c8a-4b57-bdc1-3c258c9d103b
tile_shape_bucket,object,0.0,square
tile_sig_raw,object,0.9978,64x32x9
